gal_name,F275W_UVIS_CHIP2,F336W_UVIS_CHIP2,F435W_ACS,F438W_UVIS_CHIP2,F555W_ACS,F555W_UVIS_CHIP2,F814W_ACS,F814W_UVIS_CHIP2
ic1954,0.0886,0.0718,0.0585,0.0586,0.0446,0.0453,0.0241,0.0241
ic5332,0.0906,0.0734,0.0598,0.0599,0.0456,0.0463,0.0247,0.0247
ngc628e,0.379,0.307,0.25,0.25,0.191,0.19399999999999998,0.10300000000000001,0.10300000000000001
ngc628c,0.379,0.307,0.25,0.25,0.191,0.19399999999999998,0.10300000000000001,0.10300000000000001
ngc685,0.125,0.10099999999999999,0.0824,0.0825,0.0629,0.0638,0.034,0.034
ngc1087,0.187,0.152,0.124,0.124,0.0943,0.0957,0.051,0.0509
ngc1097,0.145,0.11699999999999999,0.0957,0.0958,0.073,0.0741,0.0395,0.0394
ngc1300,0.163,0.132,0.10800000000000001,0.10800000000000001,0.0821,0.0834,0.0444,0.0444
ngc1317,0.113,0.0914,0.0745,0.0745,0.0568,0.0576,0.0307,0.0307
ngc1365,0.111,0.0897,0.0731,0.0732,0.0558,0.0566,0.0301,0.0301
ngc1385,0.109,0.0881,0.0718,0.0719,0.0548,0.0556,0.0296,0.0296
ngc1433,0.0483,0.0392,0.0319,0.0319,0.0243,0.0247,0.0132,0.0131
ngc1512,0.0564,0.0457,0.0372,0.0373,0.0284,0.0288,0.0153,0.0153
ngc1559,0.161,0.131,0.106,0.106,0.0811,0.0824,0.0439,0.0438
ngc1566,0.0483,0.0392,0.0319,0.0319,0.0243,0.0247,0.0132,0.0131
ngc1672,0.125,0.10099999999999999,0.0824,0.0825,0.0629,0.0638,0.034,0.034
ngc1792,0.121,0.0979,0.0798,0.0798,0.0608,0.0618,0.0329,0.0329
ngc2775,0.23399999999999999,0.18899999999999997,0.154,0.154,0.11800000000000001,0.11900000000000001,0.0636,0.0635
ngc2835,0.54,0.43700000000000006,0.35600000000000004,0.35700000000000004,0.272,0.276,0.147,0.147
ngc2903,0.16699999999999998,0.135,0.11,0.11,0.0842,0.0854,0.0455,0.0455
ngc3351,0.149,0.121,0.0984,0.0985,0.075,0.0762,0.0406,0.0405
ngc3351_legus,0.149,0.121,0.0984,0.0985,0.075,0.0762,0.0406,0.0405
ngc3621,0.43700000000000006,0.354,0.289,0.289,0.22,0.223,0.11900000000000001,0.11900000000000001
ngc3627,0.18100000000000002,0.147,0.12,0.12,0.0913,0.0926,0.0493,0.0493
ngc4254,0.209,0.17,0.138,0.138,0.105,0.107,0.057,0.057
ngc4298,0.191,0.155,0.126,0.126,0.0963,0.0978,0.0521,0.052000000000000005
ngc4303,0.121,0.0979,0.0798,0.0798,0.0608,0.0618,0.0329,0.0329
ngc4321,0.141,0.114,0.0931,0.0932,0.071,0.0721,0.0384,0.0383
ngc4535,0.105,0.0848,0.0691,0.0692,0.0527,0.0535,0.0285,0.0285
ngc4536,0.0987,0.0799,0.0652,0.0652,0.0497,0.0504,0.0269,0.0268
ngc4548,0.205,0.166,0.136,0.136,0.10300000000000001,0.105,0.0559,0.0559
ngc4569,0.254,0.20600000000000002,0.168,0.168,0.128,0.13,0.0691,0.069
ngc4571,0.25,0.20199999999999999,0.165,0.165,0.126,0.128,0.068,0.0679
ngc4654,0.141,0.114,0.0931,0.0932,0.071,0.0721,0.0384,0.0383
ngc4689,0.12300000000000001,0.0995,0.0811,0.0812,0.0619,0.0628,0.0334,0.0334
ngc4826,0.22399999999999998,0.18100000000000002,0.14800000000000002,0.14800000000000002,0.113,0.114,0.0608,0.0608
ngc5068,0.5539999999999999,0.449,0.366,0.366,0.27899999999999997,0.28300000000000003,0.151,0.151
ngc5248,0.133,0.10800000000000001,0.0878,0.0878,0.0669,0.0679,0.0362,0.0362
ngc6744,0.23199999999999998,0.188,0.153,0.153,0.11699999999999999,0.11800000000000001,0.063,0.063
ngc7496,0.0524,0.0424,0.0346,0.0346,0.0264,0.0268,0.0143,0.0142
