,galaxy_id,final_mosaic_date
0,ngc4254,08mar2021
1,ic1954,27jul2020
2,ic5332,29jun2020
3,ngc1087,12nov2019
4,ngc1097,28apr2021
5,ngc1300,11aug2020
6,ngc1317,03dec2019
7,ngc1365,20nov2019
8,ngc1385,26jun2020
9,ngc1433,18nov2019
10,ngc1512,19nov2019
11,ngc1559,04dec2019
12,ngc1566,24oct2019
13,ngc1672,25oct2019
14,ngc1792,21nov2019
15,ngc2775,13nov2019
16,ngc2835,13feb2020
17,ngc2903,03jul2021
18,ngc3351,12nov2019
19,ngc3621,29mar2021
20,ngc3627,13Dec2019
21,ngc4298,05may2020
22,ngc4303,30apr2020
23,ngc4321,06jul2020
24,ngc4535,11dec2019
25,ngc4536,05feb2021
26,ngc4548,17dec2019
27,ngc4569,23dec2019
28,ngc4571,18dec2019
29,ngc4654,09dec2019
30,ngc4689,12feb2020
31,ngc4826,17feb2020
32,ngc5068,18may2021
33,ngc5248,28oct2019
34,ngc628c,25feb2020
35,ngc628e,16mar2020
36,ngc6744,26nov2019
37,ngc685,17aug2020
38,ngc7496,01sep2020
